id,airline,origin_user,origin,destination,flight_type,travel_date,rating,review_text
AEA_0001,Air Europa,Desconocido,Palma de Mallorca,Menorca,Domestic,abril de 2026,1,"El 13/04 realizamos una reserva Mallorca–Menorca, confirmada y pagada. Durante la gestión de una incidencia en uno de los vuelos con uno de los pasajeros, nuestra reserva fue cancelada sin nuestro consentimiento, obligándonos posteriormente a realizar una nueva reserva a un precio superior. La atención recibida fue absolutamente nefasta: dos operadores finalizaron la comunicación sin ofrecer solución y la supervisora solo atendió el caso tras una tercera llamada, sin dar explicaciones sobre la cancelación unilateral ni asumir responsabilidades. Mostramos nuestra total inconformidad con la gestión realizada y con un servicio de atención al cliente claramente deficiente e inaceptable."
AEA_0002,Air Europa,Desconocido,Desconocido,Desconocido,Desconocido,abril de 2026,1,"Quiero dejar una reseña muy negativa sobre Air Europa por el vuelo UX1143 (Madrid — Oporto, 11.04.2026, 15:15). La situación fue inaceptable: la tripulación coloca la ropa de abrigo de otras personas en los compartimentos superiores destinados al equipaje de los pasajeros. Como resultado, no hay espacio para las maletas de mano, y la gente se ve obligada a meter sus cosas donde puede o llevarlas en los pies. Además, una de las azafatas, en lugar de ayudar, se puso a discutir conmigo de forma grosera y totalmente inapropiada. Ninguna intención de resolver el problema, solo mala actitud. ¿Por qué la tripulación ocupa espacio que pertenece a los pasajeros? Esto es mala organización y una falta total de respeto. Servicio muy por debajo de lo esperado. Una decepción total."
AEA_0003,Air Europa,"Miami, Florida",Valencia,Miami,International,junio de 2025,1,"Fecha del viaje: 25 de junio de 2025 Ruta: Valencia (España) – Miami (Estados Unidos) Detalles del vuelo: 1. ITINERARIO RESERVADO: 25 de junio 2025 - VLC-MAD - UX4064 - Hora 12h35 (Llegada a Madrid a las 13h30). Retraso de 4.5 horas por el cambio que detallamos a continuación. 25 de junio 2025 - MAD-MIA - UX097 - Hora 14h25 (Llegada a Miami a las 18h45). Retraso de 16 horas por el cambio que detallamos a continuación. 2. PRIMER CAMBIO DE ITINERARIO (MODIFICADO) CAMBIO DE ITINERARIO VLC-MAD-MIA: 25 de junio 2025 - VLC-MAD - UX4064 – Cambio del vuelo del 25 de junio a las 12h35 al vuelo de las 17h08 (Llegada a Madrid a las 18h08). Retraso de 4.5 horas. 26 de junio 2025 - MAD-MIA - UX97 – Cambio del vuelo del 25 de junio a las 14h25 al vuelo del 26 de junio a las 15h25 (Llegada a Miami a las 19h45 un día después). Retraso de 25 horas. 3. SEGUNDO CAMBIO DE ITINERARIO (DEFINITIVO) 25 de junio 2025 - VLC-MAD - UX4064 - Hora 17h08 Retraso de 4.5 horas por el cambio que detallamos a continuación. 25 de junio 2025 - MAD-JFK - UX093 - Hora 19h45 - Cambio del vuelo del 25 de junio a las 14h25 al vuelo de las 19h45 de Madrid al aeropuerto de JFK en New York, en lugar del aeropuerto de Miami. (Llegada al aeropuerto JFK en New York a las 23h00 el 25 de junio 2025). Noche en el aeropuerto de JFK en New York, sin comida ni hotel. Nos dejaron tirados toda la noche, desde las 23h00 del 25 de junio 2025 hasta las 7h00 del día siguiente, 26 de junio 2025. 26 de junio 2025 - JFK-MIA - UX0093 - Hora 7h00 (Llegada al aeropuerto de Miami un día después, el 26 de junio a las 10h00 en lugar de llegar el 25 de junio a las 18h35). Retraso final de 19.5 horas. El retraso total del vuelo fue un retraso de 19.5 horas, lo que provocó importantes perjuicios. Entre ellos, la pérdida de un día laboral; tener que pasar la noche en el aeropuerto JFK sin comida ni alojamiento; la falta de asientos disponibles; y la necesidad de permanecer en un entorno extremadamente incómodo e inseguro debido a que el aeropuerto cierra durante la noche. Esta situación resultó especialmente perjudicial para uno de los pasajeros, diagnosticado con neuropatía desencadenada por tratamiento de quimioterapia por cáncer de páncreas. Nº DE VUELO UX4064 UX97 UX93 DL1528 UX97 FECHA DE VUELO 25-06-2025 25-06-2025 25-06-2025 26-06-2025 26-06-2025 Origen VLC MAD MAD JFK MAD Destino MAD MIA JFK MIA MIA Solicité asistencia y compensación a Air Europa conforme al Reglamento (CE) n.º 261/2004, pero la aerolínea no ha proporcionado una respuesta satisfactoria. De acuerdo con dicho reglamento: Artículo 5 (Compensación en caso de cancelación y grandes retrasos): establece que los pasajeros tienen derecho a compensación cuando llegan a su destino final con un retraso de tres horas o más, salvo que existan circunstancias extraordinarias debidamente acreditadas por la aerolínea. Artículo 7 (Derecho a compensación): fija una compensación de 250 €, 400 € o 600 € en función de la distancia del vuelo. Artículo 8 (Reembolso o transporte alternativo): reconoce el derecho a reembolso o a un transporte alternativo en condiciones comparables. Artículo 9 (Derecho a asistencia): obliga a la aerolínea a proporcionar comida, bebidas, alojamiento en hotel, transporte y comunicación sin coste, en función de la duración del retraso. En mi caso, Air Europa no proporcionó la asistencia exigida por los artículos 7, 8 y 9, ni ha justificado circunstancia extraordinaria alguna conforme al artículo 5. Por tanto, y conforme al artículo 7 del citado reglamento, solicito formalmente la compensación económica correspondiente a este retraso. Hemos presentado cinco (5) reclamaciones ante el departamento de Atención al Cliente a través de la página web de Air Europa, detallando exhaustivamente todo lo ocurrido. Adjuntamos todos los documentos pertinentes: la confirmación de la reserva, las tarjetas de embarque y toda la correspondencia mantenida con la aerolínea. En total, cinco reclamaciones en las que hemos aportado toda la información necesaria para explicar claramente lo sucedido y demostrar que corresponde la compensación mínima de 250 euros por persona para el vuelo VLC–MAD, más 600 euros por persona para el vuelo MAD–MIA. Sin embargo, Air Europa ha negado rotundamente dicha compensación sin ofrecer ningún argumento que lo justifique. Caso de reclamación # 1 referencia RCC-A7MTHRR Fecha registro: 02-07-2025 Estado: Cerrada – Email recibido con denegación de la compensación (sin explicaciones). Caso de reclamación # 2 referencia RCC-AP7EKQZ Fecha registro: 14-10-2025 Estado: Finalizada – Email recibido con denegación de la compensación (sin explicaciones). Caso de reclamación # 3 referencia RCC-A4DCAJM Fecha registro: 02/01/2026 Estado: Finalizada – Email recibido con denegación de la compensación (sin explicaciones). Caso de reclamación # 4 referencia RCC-ACWLCZM Fecha registro: 27/01/2026 Estado: Finalizada – Email recibido con denegación de la compensación (sin explicaciones). Caso de reclamación # 5 referencia RCC-ANJTF9G Fecha registro: 06/02/2026 Estado: Registrada – Pendiente respuesta Es absolutamente inaceptable la falta de seriedad y consideración mostrada por esta empresa. Además, queda en evidencia una falta total de cumplimiento y respeto hacia el Reglamento (CE) n.º 261/2004 y las directrices establecidas por la agencia estatal AESA. UNA FALTA DE RESPETO TOTAL Y ABSOLUTA."
AEA_0004,Air Europa,"Madrid, España",Madrid,La Coruna,Domestic,abril de 2026,1,"Desastroso, dos vuelos y dos retrasos."
AEA_0005,Air Europa,"Nantes, Francia",Carajas,Madrid,International,abril de 2026,1,"Retardo de 12 horas sin mucha información de parte de la aerolínea. Solo después de 6 horas trajeron algo para comer a pesar de que había muchos ancianos y niños esperando . A la llegada a Madrid la persona que nos esperaba con los nuevos vuelos de conexión era muy estresada y mal hablada, mala comunicación todo el tiempo . Al día siguiente en el vuelo de conexión que había perdido, igual retrasó casi de 1 hora sin mucha comunicación de la parte de la tripulación aunque ya estábamos montados en el avión. El vuelo como tal está bien pero el servicio en general es malo"
AEA_0006,Air Europa,Desconocido,Madrid,Barcelona,Domestic,marzo de 2026,1,"Hoy tenía el vuelo de Madrid A Barcelona con AirEuropa, salida a las 12:20. Ponen varios avisos de que vuelo se retrasa a las 12:40 y luego a las 13:06 en la APP Llego a la puerta de embarque, ponía última llamada, la puerta de embarque estaba abierta y estaban entrando las 3 últimas personas. En ese momento me dicen que el vuelo está completo y yo les digo que tengo mi billete. El señor me dice que le han vendido mi billete a otra persona porque he llegado tarde y fue a cerrar rapidamente la puerta de embarque. Yo vi como embarcaban tres personas y a mi no me dejaron. El señor que me atendió me dijo que fuera al mostrador de AirEuropa para que ellos me permitieran el paso y cuando fui me dijeron que solo podían venderme un billete nuevo, volví de nuevo a la puerta de embarque y el señor muy desgradable me dijo que a que volvía allí!? Para entrar en el aeropuerto se necesita un código de barras o seguridad, cómo le puede vender un billete a alguien así tan rápido? No entiendo nada, es algo ilógico esto!!"
AEA_0007,Air Europa,"Puerto Colombia, Colombia",Madrid,Bogota,International,marzo de 2026,1,Todo un lío para abordar el equipaje cobran el peso al doble y además de eso le hacen perder el tiempo a uno con las maletas para que compre más maletas por qué TIENEN QUE SER CUADRADAS Y GRANDES y perdí mi vuelo solo por eso ya había pagado las maletas ahora a esperar 24 horas el próximo vuelo y pague también la multa por cambio de vuelo NO LO RECOMIENDO BARATO PERO NO VALE LA PENA TANTO ESTRES !!!!
AEA_0008,Air Europa,"Madrid, España",Bilbao,Madrid,Domestic,marzo de 2026,1,"Viajé hoy con Air Europa y, al llegar, mi maleta no apareció. He tramitado la reclamación oficial con el código MADUX53012, pero la incertidumbre y la falta de información inmediata no son fáciles de llevar. Mas si cabe, para un trayecto de 50 minutos. Es difícil de entender como es posible extraviar una maleta en un vuelo así, sin escalas, con el origen en un aeropuerto pequeño, etc. Espero que la compañía responda como es debido y localice mi equipaje cuanto antes. De momento, una experiencia de cliente muy decepcionante y frustrante al carecer de información y únicamente poder poner una reclamación. No entiendo como los usuarios podemos permitir que las aerolíneas nos traten así. Si fallo en mi trabajo, me despiden. Así de simple"
AEA_0009,Air Europa,Desconocido,Madrid,Cancun,International,marzo de 2026,1,"Pesima compañía. Te cobran 3 euros por los cascos ( cuando ninguna lo hace). En un vuelo de once horas solo una comida excasa. Los baños oliendo fatal y sin papel. Y después de llamar siete veces a la camarera para por favor que por lo menos nos trajera agua tuvo que levantarse mi marido a por ella porque estaba toda la tripulación de tiempo libre, hablando y riendo en su cabina sin atender a los pasajeros. Un horror"
AEA_0010,Air Europa,Desconocido,Montevideo,Malaga,International,marzo de 2026,1,"Nos cobraron por exceso de equipaje pero esa balanza esta trucada ya que la habiamos pesado en embalaje y nos daba el peso correcto,nos dio 23 y cuando la pesaron ellos 28 kg, ¿como va a haber esa diferencia tan grande cuando la habiamos pesado en el mismo aeropuerto? ademas teniamos la maleta vacia, la apretabas y se hundia ya que no estaba llena, mas encima despues cuando recogimos las maletas 2 de ellas estaban rotas. Una verguenza."
