id,airline,origin_user,origin,destination,flight_type,travel_date,rating,review_text
IBB_0001,Binter,Desconocido,Tenerife,Fuerteventura,Domestic,abril de 2026,2,"Cojo al mes varios vuelos y nose que está pasando que siempre llevan retraso y no hablamos de problemas meteorológicos porque no siempre está el tiempo malo. Últimamente está dejando mucho que desear con este tipo de retrasos y cambios de puerta en el último minuto y sin informar de ello por megafonía y aunque te dicen que estés pendiente a las pantallas es misión imposible ya que en el aeropuerto Tenerife Norte por ejemplo no hay tantas pantallas cómo para ello,así que tienes que estar a cada poco pendiente porque sino te quedas en tierra...vaya mala organización la verdad."
IBB_0002,Binter,Desconocido,Santa Cruz de la Palma,Madrid,Domestic,marzo de 2026,5,"Por problemas meteorológicos no pudimos salir de Las Palmas. Nos organizaron transporte en ferry a Tenerife, y de ahí al aeropuerto Norte, con traslados incluidos totalmente organizados, taxis y noche de hotel con cena, y al día siguiente estábamos en casa, chapó. Desayuno y chocolatina en los vuelos."
IBB_0003,Binter,"Santa Cruz de Tenerife, España",Tenerife,Las Palmas de Gran Canaria,Domestic,marzo de 2026,1,"Si vuelas como yó varias veces al mes te das cuenta de que es una compañía que no vale para nada, son gente pueblerina, incapaz y bruta y hacen todo fatal, desde el personal hasta el ceporro mayor de su presidente. Nunca den nada por sentado, revises todo varias veces, vayan a verificar las puertas a los paneles todo el rato ya que cambian las puertas cuando les dá la gana, no dejen nada en el avion porque roban y no se hacen responsables, sus empleados son gente sin estudios de barrios de la isla sin capacidad ni ganas de trabajar, cuando lleguen al avion pregunten a donde van porque hay gente que ha acabado en otra isla distinta. Son una verguenza a la altura de cualquier compañía africana aunque disimulen intentando aparentar seriedad."
IBB_0004,Binter,Desconocido,Tenerife,Las Palmas de Gran Canaria,Domestic,marzo de 2026,1,"Ofrecen que tienen muchísimos horarios de salidas de vuelos y luego el mínimo de retraso son 45 minutos, porque reubican vuelos al final mienten al pasajero, ofrecen horarios que no cumplen, y como está dentro de las dos horas, pues para ellos, todo vale. Aviones averiados de forma común...y así, podrían plantearse poner menos vuelos y así poder cumplir con los horarios."
IBB_0005,Binter,Desconocido,Tenerife,Oviedo,Domestic,marzo de 2026,5,"Quiero felicitar y agradecer a todo el personal de los vuelos que realice Tenerife Norte a Asturias y la vuelta. Viaje con mi gatito en cabina y creo que jamás le han tratado como en esta ocasión..cada ratito preguntaban si estaba bien y cómodo. Si viajan con sus compañeros de cuatro patitas, escojan Binter... esos pequeños detalles marcan la diferencia..personal maravilloso...todo perfecto... muchas gracias por poner a Canarias en el lugar que se merece"
IBB_0006,Binter,"Blimea, España",Madrid,Tenerife,Domestic,febrero de 2026,1,"No pongo 0 estrellas por que deja, presumen de calidad, de darte comida gratis en sus vuelos( que ya te cobran con el billete) normalmente vale mas barato ir en busines de iberia que con esta gente en turista, la primera vez con ellos y me pierden la maleta pasan 21 días no aparece , les envió el contenido unos 1850 euros aprox. me dicen que me dan 220€ que tienen ciertas limitaciones, cosa falsa ya que tienen la obligación por ley de pagar unos 1750/1900 depende la tasa de cambio del día de pago, estoy en proceso de que rectifiquen o denunciarles y sacarlo en prensa para que la gente sepa lo que es Binter la compañía que presume de calidad etc etc y funciona a modo LOW COST , viendo esto lógicamente no volare con ellos mas en la vida pero me parece de verguenza que se crean a la altura de iberia y de air europa y luego con estas nos andamos , es que es de VERGUENZA"
IBB_0007,Binter,Desconocido,Las Palmas de Gran Canaria,Tenerife,Domestic,febrero de 2026,5,"La sobrecargo del vuelo Jessica, fue súper amable. De estas personas que te sacan la sonrisa a las 7 de la mañana sin más… Gracias El vuelo al tiempo, todo perfecto"
IBB_0008,Binter,Desconocido,Valencia,Fuerteventura,Domestic,febrero de 2026,5,"Volar con Binter es siempre un auténtico placer. La amabilidad del personal, especialmente de las azafatas, marca una diferencia enorme desde el primer momento. El trato cercano, profesional y cálido hace que uno se sienta cuidado en todo instante. La comida a bordo es otro nivel: deliciosa, con productos canarios de primera calidad y acompañada de un vino exquisito que realza aún más la experiencia. Detalles así ponen en sombra a grandes aerolíneas como Iberia, Vueling o Ryanair, que no se acercan ni de lejos a este estándar. Los asientos son cómodos, el espacio es más que generoso y la sensación general es la de viajar en una aerolínea que lo tiene todo para considerarse de primera clase. Ole por Binter. Felicidades por mantener un servicio tan impecable. Da orgullo pertenecer a esta tierra y contar con una aerolínea que es un verdadero ejemplo."
IBB_0009,Binter,España,Tenerife,Seville,Domestic,febrero de 2026,5,"Nunca había viajado con esta compañía, me ha sorprendido muchísimo, de lo mejorcito ahora mismo , avión con asientos amplios , muy limpio , muy cómodo , la tripulación antena a los pasajeros, nos pusieron un aperitivo ( comida y bebida) y después un café o infusión, películas a bordo La verdad es que nos tienen acostumbrados otras compañías a tratarnos como ganado , que es maravilloso viajar así"
IBB_0010,Binter,Desconocido,Lanzarote,Tenerife,Domestic,febrero de 2026,2,"Binter siempre igual,dicen que salen a una hora y luego se retrasan varios min.haciendo que pierdas líneas de autobuses, Ahora retrasado el vuelo que voy a coger y llego súper tarde a Tenerife,coges este horario para llegar pronto y nunca llegas a tu destino cuando quieres. Desastre de aerolínea!!!!"
