id,airline,origin_user,origin,destination,flight_type,travel_date,rating,review_text
IBE_0001,Iberia,Desconocido,Madrid,Tenerife,Domestic,abril de 2026,1,"In April of 2025, I was utilizing Iberia for a connection flight from Madrid to Tenerife to go to my best friend's wedding. Several month before I get an email saying that changes were required for my flight. I called and they said no changes were necessary and my trip was all set. Fast forward I take my United flight to Madrid, and try to check in for my flight with Iberia. They didn't have any record of my flight and I spoke with 6 different people trying to get it sorted out. The first 5 people were incompetent, and refused to provide assistance. Eventually, I was told that I wasn't listed on the flight I was originally booked for. They put me on stand by and by the grace of god, people didn't make their flight and I was able to board. Iberia never boarded my luggage and I arrived at Tenerife without any clothing for the wedding I was attending. I was told that if I needed to buy clothes they would reimburse me. I have called Iberia claims department 5 different timed over the last year trying to get my reimbursement, and every time I spoke with someone they said their was a problem with my payment and they had to re-initiate it. I have yet to receive my funds. I highly recommend finding an alternative airline. En abril del 2025, utilicé los servicios de Iberia para un vuelo de conexión de Madrid a Tenerife para ir a la boda de mi mejor amigo. Varios meses antes recibí un correo electrónico diciendo que se requerían cambios para mi vuelo. Llamé y me dijeron que no era necesario ningún cambio y que mi viaje estaba listo. ,tomé mi vuelo de Estados Unidos a Madrid y intenté facturar mi vuelo con Iberia. No tenían ningún registro de mi vuelo y hablé con 6 personas diferentes tratando de resolverlo. Las primeras 5 personas eran incompetentes y se negaron a prestar asistencia. Finalmente, me dijeron que no estaba en la lista del vuelo para el que estaba reservado originalmente. Me pusieron en espera y por la gracia de Dios, algunas personas no tomaron su vuelo y yo pude abordar. Iberia pero mi equipaje nunca llegó a Tenerife y porsupuesto llegué a Tenerife sin ropa para la boda a la que asistía. Me dijeron que si necesitaba comprar ropa, me reembolsarían. He llamado al departamento de reclamaciones de Iberia 5 veces diferentes durante el último año tratando de obtener mi reembolso, y cada vez que hablaba con alguien me decían que había un problema con mi pago y que tenían que volver a iniciarlo. Todavía no he recibido mis fondos. Recomiendo encarecidamente encontrar una aerolínea alternativa."
IBE_0002,Iberia,Desconocido,Las Palmas de Gran Canaria,Denver,International,febrero de 2026,1,"Me perdieron la maleta y ya hacen 2 semanas desde que pasaron los 21 dias y aun no son capaces de enviar el correo para empezar el proceso de indemnización. Llamo todos los dias y lo unico que me dicen es que tengo que esperar y que envian un mensaje para que den mas urgencia al caso, pero nada... Es absurdo el tiempo que tardan. Sigo sin maleta y sin indemnización"
IBE_0003,Iberia,Desconocido,New York City,Madrid,International,abril de 2026,1,"Iberia maltrata a sus clientes, incluso siendo Platino. Ha cambiado a toda mi familia sin avisar los asientos de un vuelo de larga duración por la noche sin tener en cuenta la tipología de asientos reservados previamente (en mi caso 2 meses antes) ni la fidelidad como cliente Platino. Nos han colocado en asientos peores al final del avión y separados sin ninguna causa justificada y sin dar ninguna solución."
IBE_0004,Iberia,Desconocido,Milan,Madrid,Europe,abril de 2026,1,"Horas antes me cambian el asiento según dicen por cambio de avión. Pagué mi selección de asiento 16e po sentarme justo donde elegí por otro 14 filas más atrás, ocasionandome, estrés, perdida de tiempo para imprimir la nueva tarjeta de embarque y tiempo para ponerles la debida reclamación de reembolso. Iberia = aiBIRRlA=desastrosos y estafadores"
IBE_0005,Iberia,Desconocido,Madrid,Milan,Europe,abril de 2026,1,"Unas horas antes nos cambian los asientos que ya habíamos pagado, por otros atrás del avión de peor calidad, a mis tres hijos menores separados. Si es por cambio de aeronave como dicen, que nos den los asientos lo más parecido a como los teníamos pagados. Siempre es en detrimento al viajero, con el dineral que cobran. Desastrosos."
IBE_0006,Iberia,Desconocido,Desconocido,Desconocido,Desconocido,abril de 2026,1,"ultimamente Iberia es un desastre. me deben una devolucion desde hace 1 mes. Excusas siempre. he llamado como 15 veces Por otro lado pedir facturas es terrible. Si coges un vuelo, reservas asiento y facturas equipaje, son 3 facturas que tienes que pedir de manera individual a traves de su web y tardan mas de una semana en enviarlas. Para ir a Cádiz o a Donosti prefiero 1000 veces coger un tren. Muy mal servicio. Cada vez peor."
IBE_0007,Iberia,Desconocido,Alicante,Buenos Aires,International,marzo de 2026,1,Este es mi segundo vieje en el que mi equipaje me llega demorado. La primera vez me dijeron que 48hs y llego a los 4 dias. Me dijeron que podia hacer los gastos de primera necesidad y me reconocieron la mitad de lo que gaste. Ahora me dijeron que lo recibiria al otro dia antes de las 11 y ahora me dicen que todavia no fue embarcado en Madrid
IBE_0008,Iberia,Desconocido,Barcelona,Caracas,International,febrero de 2026,1,"Luego de tratar de gestionar un cambio de fechas, de un pasaje que inicialmente fue cancelado por suspensión de vuelos entre España y Venezuela, se acepta en priera instancia el cambio a otra fecha, ahora trato de cambiar esa fecha pese a que en mi tarifa ida Confort y vuelta optima me indica que en el 1er tramo no pago diferencia y que en el segundo debo pagar una penalización de 180 y como no me permite realizar la gestión online 35 euros de gestión, se hizo imposible ya que me quieren cobrar una cambio de tarifa de 3200€, siendo que verifico a través de la página oficial de iberia ""t.co/CYsX0f9x5l"" coloco las fechas y me arroja un total de 1126,86€ con una tarifa confort de ida y optima de vuelta. A todas esta he realizado 2 llamadas de 1:15min cada una y en la primera llamada hablo con un chico que me indica que no debía realizar ningún pago por cambio de tarifa sino únicamente el monto correspondiente a la penalización y al servicio de gestión 215€ que fueron debitados de mi cuenta a través de mi tarjeta antes de confirmar el cambio la llamada se va a la central me atiende una chica me procesa el cambio antes de verificar el cambio se cae la llamada, vuelvo a llamar y después de 40 min, me dicen que debo pagar 3000€ por el cambio de tarifa más la penalización más el servicio de gestión, me indica la persona que no hay evidencia de ningún cargo a mi tarjeta, solicito la grabación de la llamada y me indican que el monto esta retenido pero que no saben porque concepto y como se gestionó este cargo, me dice que la grabación de la llamada no podrá ser gestionada porque el departamento NO LO AUTORIZA y que ellos me contactaran si deciden validar el cambio de fecha o hacer la devolución del dinero. Claro no me presentan la transcripción de la llamada porque en ella esta claramente cuando el primer operador CESAR me dice que solo deberé pagar los 215 por el cambio de fecha y procede a realizar el cargo. Quiero que se me respete la acción realizada del cambio de fecha solicitado CÓDIGO DE RESERVA: 85EL9X"
IBE_0009,Iberia,Desconocido,Tenerife,Madrid,Domestic,marzo de 2026,1,"Horrible las experiencias con Iberia Para la compra de los billetes,no te llegan al correo,no llega la reserva y llamas a atención al cliente y no saben darte una solución,mucho tiempo al teléfono para nada,cada vez peor."
IBE_0010,Iberia,Desconocido,Madrid,Sao Paulo,International,marzo de 2026,1,"Si pudiera dar -1000 lo haría, la peor compañía aérea que he visto en mi vida, las chicas de Iberia del aeropuerto de Madrid son mas incompetentes que he visto en mi vida, primera y última vez, prefiero 100x pagar más caro y volar con AirFrance. Buscaré mis derechos en el juzgado. La escala era de una hora y por culpa del terminal ser súper lejos y el control de inmigración tardar tanto, llegando allí a tiempo, no me han dejado embarcar y encima me hicieron comprar un vuelvo nuevo"
