id,airline,origin_user,origin,destination,flight_type,travel_date,rating,review_text
IBS_0001,Iberia Express,Desconocido,Madrid,Lanzarote,Domestic,marzo de 2026,1,"Se publicitan como Express, pero Express mis c.... Nos obligan a facturar la maleta de mano, según ellos por falta de espacio, teniendo que estar mucho antes en el aeropuerto, nos rompen la maleta tanto a mí como a mí mujer y en el viaje de vuelta a Madrid, otra vez obligados a facturar nos tienen 55 minutos esperando por la maleta. Será nuestro último vuelo con ellos."
IBS_0002,Iberia Express,Desconocido,Tenerife,Madrid,Domestic,febrero de 2026,1,"Tenía viaje largo de 4 vuelos. Mi viaje empezó con el vuelo de Tenerife sur a Madrid con Iberia Express. Pues, esperando mi maleta más de 1 hora en Madrid, he perdido mi próximo vuelo y más 2 que tenía después ((( Tenía que comprar nuevos billetes para todos los vuelos, pagando triple más caro por comprar lo mismo día y tenía que quedarme en Madrid en hotel hasta día siguiente. Alguien sabe que ruta hacen las maletas desde avión hasta el aeropuerto por tardar más de 1 hora? No recomiendo a nadie viajar con esa compania."
IBS_0003,Iberia Express,Desconocido,Vienna,Madrid,Europe,febrero de 2026,1,"Yo también fui estafado con la tarifa óptima , ni pude escoger asiento ni prioridad de embarque , y encima el avión no iba lleno, así que no recomiendo para nada está tarifa, Pagas por nada."
IBS_0004,Iberia Express,Desconocido,Desconocido,Desconocido,Desconocido,febrero de 2026,1,"Compras la tarifa óptima con derecho a cambio de vuelo, grupo de embarque 2, elección de asientos, maleta de mano y maleta en bodega. En el viaje de ida me colocan en el grupo 3, cual es mi sorpresa.. no es posible, yo pague grupo 2. La cosa no acaba ahi… cuando saque la tarjeta de embarque 23 horas antes del vuelo a través de la aplicación, no me permitió elegir asiento y no solo nos asignó un asiento aleatorio sino que me cobraron 20€, llame a Iberia para hacer la reclamación, me indican que en 24/72 horas me llamarán y me responderán… aún estoy esperando la llamada. Viaje de vuela. Cual es mi sorpresa que el billete de vuelta voy a cambiarlo y me dice que tengo derecho a un cambio, no pago penalización pero tengo que pagar la diferencia de precio de ese vuelo, diferencia de precio 90€ por pasajero. Que es esto una estafa? Y no es operado por Iberia, es operado por Vueling… peores condiciones, vuelos con retrasos, etc… De verdad me parece una estafa lo que hacen en Iberia y en Vueling. No compréis tarifas óptimas son estafas!!!"
IBS_0005,Iberia Express,Desconocido,Madrid,Edinburgh,Europe,febrero de 2026,1,"Tenia los vuelos planificados para Mayo, me los cancelaron y llevo tres meses esperando la devolucion. Llamo y siempre me dicen lo mismo que lo tiene que validar un supervisor y asi..."
IBS_0006,Iberia Express,Desconocido,Madrid,Vienna,Europe,febrero de 2026,1,"Viajé ayer de Madrid a Viena, llegué acalambrado por el espacio entre mi asiento y el delantero ! NO ME PODÍA MOVER. Por otra parte, como no despaché valijas grandes especialmente para no demorar mi salida al.llegar, me hicieron enviar las carry on a la bodega, mientras que los que habían despachado y tenían etiquetada las carry on pudieron subirlas sin inconvenientes. El pretexto fue que no había lugar en el avión. No están calculados para la cantidad de pasajeros que transporta ? Voy a evitar hasta lo imposible viajar por Iberia, un DESASTRE !"
IBS_0007,Iberia Express,Desconocido,Madrid,Copenhagen,Europe,febrero de 2026,1,"Llamamos para cambiar los vuelos dentro vuelta de nuestro viaje dentro de las 24 horas tras la compra de los mismos. En principio, el personal de atención al cliente hizo el cambio en el sistema, de hecho así nos aparece en el área de clientes de la web de Iberia Express, pero debido a que se estaba actualizando el sistema, no pudieron cobrarnos los 33€ de diferencia de un vuelo a otro. Nos dieron un número de incidencia (70384262) y nos pidieron que llamáramos para poder terminar con el pago al día siguiente. El día siguiente llamamos pero seguían actualizando el sistema, al igua que dos días después. Al tercer día, nos dicen que al haber pasado más de 24 horas nos tienen que cobrar la penalización por cambio de vuelo y la diferencia, un total de 169€ frente a los 33€ que debíamos. Se niegan a hacerse responsables de la situación, pues no pudimos pagar dentro de las 24 horas por un fallo de la compañía, no nuestro. La atención ha sido vergonzosa y dos veces se nos ha negado hablar con un superior. Por supuesto hemos cancelado el cambio y vamos a denjnciar la situación a consumo, pues la misma operadora nos ha confirmado que están infringiendo el compromiso de calidad que ofrece la compañía y por culpa de un error de ellos, nos cuesta el cambio 130€ más de lo que era en un primer momento. Hemos grabado esa conversación y la vamos a añadir a la denuncia. Hemos estado más de dos horas al teléfono, con esperas de más de media hora, y nos han cortado también en dos ocasiones cuando les ha parecido. Por último, en la encuesta de satisfacción no nos ha dejado poner 0 ni uno, pues la grabación volvía a comenzar sin guardar la información. De vergüenza. Llevamos muchos años volando con Iberia, pero esta será la última."
IBS_0008,Iberia Express,Desconocido,Madrid,Copenhagen,Europe,febrero de 2026,1,"Llamamos dentro de las 24 horas después de la compra para adelantar la vuelta y nos dijeron que no había problema. Nos cambiaron supuestamente el vuelo, pero no nos lo pudieron cobrar porque estaban actualizando el sistema. Nos pidieron que llamáramos al día siguiente para hacerlo, pero ni ese día, ni el otro podían operar con el sistema actualizándose. Cuado volvemos a hablar con ellos tres días después, la incidencia que teníamos abierta parece que había prescrito y querían cobrarnos, además de la diferencia (que es mucho mayor), la penalización por cambio de vuelo; no haciéndose cargo ellos, que son los que tenían el problema y no nos lo pudieron solucionar en su momento. Seguimos esperando porque aún no se hasolucionado. La única solución que nos dan es que pongamos una reclamación. Además, los que te atienden por telefono no tienen ningún tipo de relación con la empresa y te mantienen a la espera constantemente (hasta una hora), imagino que para poder buscar la información que tienen que darte. Hasta una hora, que entonces te cortan la llamada. Se niegan a pasarte con un supervisor… todo problemas, acabando con tu paciencia y pasándose por el forro el compromiso de calidad. Nunca nos había pasado nada similar con ninguna otra empresa, y eso que volamos mucho. Desde luego, con ellos nunca más, y eso que somos clientes de Iberia desde hace muchos años."
IBS_0009,Iberia Express,Desconocido,Fuerteventura,Madrid,Domestic,enero de 2026,1,"Compré asiento XL para estirar piernas el día antes, me lo cobran 17€ y al llegar al avión me encuentro un asiento normal. Me dice el azafato que ese avión no tiene XL y que lo reclame. Entonces para qué me lo venden? Llevo 5 dias desde que envié el correo porque por telefono no me resolvieron la devolución. Aun esperando."
IBS_0010,Iberia Express,Desconocido,Madrid,Las Palmas de Gran Canaria,Domestic,enero de 2026,1,"Adquirí la tarifa ADELANTA TU VUELO, que permite adelantar tú vuelo en los mostradores de iberia en el aeropuerto. UN FRAUDE. En los mostradores de Iberia me recibían como un apestado (""eso es Iberia Express"", decían con desdén, ""no tiene nada que ver con Iberia). Me dieron un teléfono, llamé, me cobraron 16,75 euros en mi tarjeta de crédito, que no me han devuelto, y no me adelantaron el vuelo. Una ESTAFA. NO VUELEN CON IBERIA EXPRESS SI PUEDEN EVITARLO."
