id,airline,origin_user,origin,destination,flight_type,travel_date,rating,review_text
VOE_0001,Volotea,Desconocido,Valencia,Santander,Domestic,marzo de 2026,5,"Mi hijo sufrió una lesión poco antes del viaje, entonces estaba en silla de ruedas. No he tenido tiempo de avisar o pedir asistencia, pero igualmente todo el equipo fue genial, nos ayudaron e incluso cambiaron asientos para que estuviéramos más cómodos."
VOE_0002,Volotea,Desconocido,Barcelona,Murcia,Domestic,marzo de 2026,5,"Muy bien y satisfecha. Atentos, educados y serviciales."
VOE_0003,Volotea,Desconocido,Granada,Oviedo,Domestic,abril de 2026,5,"Como siempre volotea nunca me falla , todo muy correcto en un viaje cortito y agradable , lo mejor que me pusieran junto a mi marido ya que pagar por asiento subía muchísimo ."
VOE_0004,Volotea,Desconocido,Oviedo,Valencia,Domestic,abril de 2026,5,Realicé vuelo de ida y vuelta Asturias-Valencia en abril. No tengo ninguna queja sobre Volotea. Vuelo mas corto incluso de lo publicitado. Viaje tranquilo buen servicio y buen trato. He viajado siempre este trayecto con esa Compañía...y lo seguiré haciendo. Otra cosa son los horarios de enlaces q ofrecen los servicios de autobuses desde mi residencia hasta el aeropuerto a la salida/ llegada del vuelo. Nefastos. Pero ahí nada tiene q ver con Volotea.
VOE_0005,Volotea,Desconocido,Murcia,Barcelona,Domestic,abril de 2026,5,"Puntualidad británica y un servicio atento. Muy bien, repetiré seguro."
VOE_0006,Volotea,Desconocido,Palma de Mallorca,Oviedo,Domestic,abril de 2026,5,Me encantó el vuelo. La tripulación muy amable y buena comunicación entre pilotos y pasajeros.
VOE_0007,Volotea,Desconocido,Alicante,Oviedo,Domestic,abril de 2026,5,El vuelo fue muy bien y en el horario previsto.
VOE_0008,Volotea,Desconocido,Barcelona,Ancona,Europe,abril de 2026,5,"Todo perfecto, en horario, muy amables y vuelo tranquilo."
VOE_0009,Volotea,Desconocido,Vitoria-Gasteiz,Barcelona,Domestic,abril de 2026,5,El vuelo fue puntual y transcurrió sin incidentes. Buena atención por parte de tripulación y en el embarque. Buena relación calidad precio. Como única incidencia tuve problema para aparcar en el aeropuerto de Vitoria ya que debido a la Semana Santa estaba colapsado. Hubiera sido interesante avisar a los viajeros de esa situación para resolver el problema sin generar tensión al no saber si iba a llegar al embarque.
VOE_0010,Volotea,Desconocido,Oviedo,Menorca,Domestic,abril de 2026,5,"Todo perfecto en los vuelos, puntualidad en las salidas programadas, amabilidad del personal de Volotea, tanto en los aeropuertos de origen y destino, así como la tripulación del avión."
VOE_0011,Volotea,Desconocido,Oviedo,Seville,Domestic,abril de 2026,5,"Experiencia mas que satisfactoria, puntualidad, comodidad y atenciones. Repetiré sin duda."
VOE_0012,Volotea,Desconocido,Barcelona,Murcia,Domestic,abril de 2026,5,"Muy buena experiencia, solicité asistencia y tanto en origen como en destino genial."
VOE_0013,Volotea,Desconocido,Desconocido,Desconocido,Desconocido,abril de 2026,5,"Puntualidad exquisita, buena atención con profesionalidad y saber estar."
VOE_0014,Volotea,Desconocido,Porto,Bilbao,Europe,abril de 2026,5,"Maravilla de vuell. Siempre puntuales, con una gran atención tanto del personal de tierra como en el vuelo."
VOE_0015,Volotea,Desconocido,Bilbao,Florence,International,abril de 2026,5,"Fue un vuelo tranquilo, sin ninguna incidencia"
